store_id,sku_id,total_demand,total_fulfilled,total_lost_units,lost_revenue,unit_price,citywide_demand,demand_share,citywide_budget,recommended_allocation,current_allocation,allocation_delta,new_lost_units,recovered_units,recovered_revenue,sku_name,category
LKO03,SKU010,1947,914,1033,41320,40,23390,0.08324070115433946,11311,942.0,914,28.0,1005.0,28.0,1120.0,Coca-Cola 750ml,Beverages
LKO07,SKU004,3668,914,2754,60588,22,44163,0.08305595181486765,11593,963.0,914,49.0,2705.0,49.0,1078.0,Tomato 500g,Fruits & Veg
LKO04,SKU004,3696,940,2756,60632,22,44163,0.08368996671421779,11593,970.0,940,30.0,2726.0,30.0,660.0,Tomato 500g,Fruits & Veg
LKO12,SKU008,2947,943,2004,28056,14,33954,0.08679389762620016,11406,990.0,943,47.0,1957.0,47.0,658.0,Maggi Noodles 70g,Snacks
LKO07,SKU007,2419,931,1488,29760,20,28654,0.08442102324282823,11404,963.0,931,32.0,1456.0,32.0,640.0,Lays Classic 52g,Snacks
LKO04,SKU010,1998,957,1041,41640,40,23390,0.08542112013681061,11311,966.0,957,9.0,1032.0,9.0,360.0,Coca-Cola 750ml,Beverages
LKO12,SKU004,3645,947,2698,59356,22,44163,0.08253515386183004,11593,957.0,947,10.0,2688.0,10.0,220.0,Tomato 500g,Fruits & Veg
LKO04,SKU001,3788,936,2852,77004,27,46616,0.08125965333790973,11621,944.0,936,8.0,2844.0,8.0,216.0,Amul Toned Milk 500ml,Dairy
LKO07,SKU008,2891,956,1935,27090,14,33954,0.08514460741002533,11406,971.0,956,15.0,1920.0,15.0,210.0,Maggi Noodles 70g,Snacks
LKO01,SKU015,820,817,3,195,65,6318,0.12978790756568534,6315,820.0,817,3.0,0.0,3.0,195.0,Dettol Handwash 200ml,Personal Care
LKO03,SKU008,2780,925,1855,25970,14,33954,0.0818754785886788,11406,934.0,925,9.0,1846.0,9.0,126.0,Maggi Noodles 70g,Snacks
LKO05,SKU010,1952,941,1011,40440,40,23390,0.0834544677212484,11311,944.0,941,3.0,1008.0,3.0,120.0,Coca-Cola 750ml,Beverages
LKO05,SKU004,3731,974,2757,60654,22,44163,0.08448248533840545,11593,979.0,974,5.0,2752.0,5.0,110.0,Tomato 500g,Fruits & Veg
LKO05,SKU008,2762,923,1839,25746,14,33954,0.0813453495906226,11406,928.0,923,5.0,1834.0,5.0,70.0,Maggi Noodles 70g,Snacks
LKO03,SKU005,3083,1013,2070,72450,35,38816,0.0794260098928277,11694,929.0,1013,-84.0,2154.0,0.0,0.0,Onion 1kg,Fruits & Veg
LKO03,SKU007,2365,996,1369,27380,20,28654,0.08253646960284777,11404,941.0,996,-55.0,1424.0,0.0,0.0,Lays Classic 52g,Snacks
LKO03,SKU014,691,691,0,0,55,7780,0.08881748071979434,7433,660.0,691,-31.0,31.0,0.0,0.0,Colgate Toothpaste 100g,Personal Care
LKO03,SKU013,771,771,0,0,130,9267,0.08319844609906119,8568,713.0,771,-58.0,58.0,0.0,0.0,Surf Excel 1kg,Household
LKO03,SKU011,850,850,0,0,110,10311,0.0824362331490641,9009,743.0,850,-107.0,107.0,0.0,0.0,Real Fruit Juice 1L,Beverages
LKO03,SKU012,2127,1040,1087,21740,20,26044,0.08166948241437567,11760,960.0,1040,-80.0,1167.0,0.0,0.0,Bisleri Water 1L,Beverages
LKO03,SKU017,354,354,0,0,299,4121,0.08590148022324678,4121,354.0,354,0.0,0.0,0.0,0.0,Phone Charging Cable,Electronics
LKO03,SKU018,216,216,0,0,40,2555,0.08454011741682975,2555,216.0,216,0.0,0.0,0.0,0.0,Birthday Candles Pack,General
LKO03,SKU015,518,518,0,0,65,6318,0.08198797087685977,6315,518.0,518,0.0,0.0,0.0,0.0,Dettol Handwash 200ml,Personal Care
LKO03,SKU016,137,137,0,0,1499,1564,0.08759590792838874,1564,137.0,137,0.0,0.0,0.0,0.0,boAt Earbuds,Electronics
LKO01,SKU018,339,339,0,0,40,2555,0.13268101761252446,2555,339.0,339,0.0,0.0,0.0,0.0,Birthday Candles Pack,General
LKO01,SKU017,564,564,0,0,299,4121,0.13685998544042707,4121,564.0,564,0.0,0.0,0.0,0.0,Phone Charging Cable,Electronics
LKO01,SKU016,205,205,0,0,1499,1564,0.13107416879795397,1564,205.0,205,0.0,0.0,0.0,0.0,boAt Earbuds,Electronics
LKO02,SKU018,340,340,0,0,40,2555,0.13307240704500978,2555,340.0,340,0.0,0.0,0.0,0.0,Birthday Candles Pack,General
LKO03,SKU004,3599,981,2618,57596,22,44163,0.08149355795575482,11593,945.0,981,-36.0,2654.0,0.0,0.0,Tomato 500g,Fruits & Veg
LKO03,SKU003,1704,1058,646,31008,48,20626,0.08261417628236206,11559,955.0,1058,-103.0,749.0,0.0,0.0,Brown Eggs (6 pcs),Dairy
LKO03,SKU002,1546,1004,542,31436,58,18068,0.0855656409121098,10881,931.0,1004,-73.0,615.0,0.0,0.0,Amul Butter 100g,Dairy
LKO03,SKU001,3821,959,2862,77274,27,46616,0.0819675647846233,11621,953.0,959,-6.0,2868.0,0.0,0.0,Amul Toned Milk 500ml,Dairy
LKO02,SKU015,854,854,0,0,65,6318,0.13516935739157962,6315,854.0,854,0.0,0.0,0.0,0.0,Dettol Handwash 200ml,Personal Care
LKO02,SKU016,182,182,0,0,1499,1564,0.11636828644501279,1564,182.0,182,0.0,0.0,0.0,0.0,boAt Earbuds,Electronics
LKO02,SKU017,564,564,0,0,299,4121,0.13685998544042707,4121,564.0,564,0.0,0.0,0.0,0.0,Phone Charging Cable,Electronics
LKO02,SKU014,987,970,17,935,55,7780,0.1268637532133676,7433,943.0,970,-27.0,44.0,0.0,0.0,Colgate Toothpaste 100g,Personal Care
LKO05,SKU016,152,152,0,0,1499,1564,0.09718670076726342,1564,152.0,152,0.0,0.0,0.0,0.0,boAt Earbuds,Electronics
LKO05,SKU015,538,538,0,0,65,6318,0.08515352959797404,6315,538.0,538,0.0,0.0,0.0,0.0,Dettol Handwash 200ml,Personal Care
LKO05,SKU014,637,637,0,0,55,7780,0.08187660668380463,7433,609.0,637,-28.0,28.0,0.0,0.0,Colgate Toothpaste 100g,Personal Care
LKO05,SKU013,773,773,0,0,130,9267,0.08341426567389662,8568,715.0,773,-58.0,58.0,0.0,0.0,Surf Excel 1kg,Household
LKO05,SKU011,825,825,0,0,110,10311,0.08001163805644457,9009,721.0,825,-104.0,104.0,0.0,0.0,Real Fruit Juice 1L,Beverages
LKO05,SKU009,1257,916,341,10230,30,15697,0.08007899598649423,10551,845.0,916,-71.0,412.0,0.0,0.0,Britannia Good Day 100g,Snacks
LKO05,SKU003,1664,957,707,33936,48,20626,0.08067487636963057,11559,933.0,957,-24.0,731.0,0.0,0.0,Brown Eggs (6 pcs),Dairy
LKO05,SKU006,2553,969,1584,71280,45,30812,0.08285732831364404,11412,946.0,969,-23.0,1607.0,0.0,0.0,Banana Dozen,Fruits & Veg
LKO05,SKU002,1505,965,540,31320,58,18068,0.08329643568740315,10881,906.0,965,-59.0,599.0,0.0,0.0,Amul Butter 100g,Dairy
LKO04,SKU012,2241,1053,1188,23760,20,26044,0.0860466902165566,11760,1012.0,1053,-41.0,1229.0,0.0,0.0,Bisleri Water 1L,Beverages
LKO04,SKU013,787,787,0,0,130,9267,0.08492500269774468,8568,728.0,787,-59.0,59.0,0.0,0.0,Surf Excel 1kg,Household
LKO04,SKU014,657,657,0,0,55,7780,0.08444730077120823,7433,628.0,657,-29.0,29.0,0.0,0.0,Colgate Toothpaste 100g,Personal Care
LKO04,SKU015,568,568,0,0,65,6318,0.08990186767964546,6315,568.0,568,0.0,0.0,0.0,0.0,Dettol Handwash 200ml,Personal Care
LKO04,SKU016,133,133,0,0,1499,1564,0.0850383631713555,1564,133.0,133,0.0,0.0,0.0,0.0,boAt Earbuds,Electronics
LKO04,SKU017,352,352,0,0,299,4121,0.0854161611259403,4121,352.0,352,0.0,0.0,0.0,0.0,Phone Charging Cable,Electronics
LKO04,SKU018,201,201,0,0,40,2555,0.0786692759295499,2555,201.0,201,0.0,0.0,0.0,0.0,Birthday Candles Pack,General
LKO04,SKU009,1277,1075,202,6060,30,15697,0.08135312480091737,10551,858.0,1075,-217.0,419.0,0.0,0.0,Britannia Good Day 100g,Snacks
LKO04,SKU008,2723,971,1752,24528,14,33954,0.08019673676150085,11406,915.0,971,-56.0,1808.0,0.0,0.0,Maggi Noodles 70g,Snacks
LKO04,SKU003,1761,1025,736,35328,48,20626,0.08537767865800445,11559,987.0,1025,-38.0,774.0,0.0,0.0,Brown Eggs (6 pcs),Dairy
LKO04,SKU006,2600,978,1622,72990,45,30812,0.0843827080358302,11412,963.0,978,-15.0,1637.0,0.0,0.0,Banana Dozen,Fruits & Veg
LKO04,SKU011,879,879,0,0,110,10311,0.08524876345650276,9009,768.0,879,-111.0,111.0,0.0,0.0,Real Fruit Juice 1L,Beverages
LKO03,SKU009,1254,957,297,8910,30,15697,0.07988787666433077,10551,843.0,957,-114.0,411.0,0.0,0.0,Britannia Good Day 100g,Snacks
LKO06,SKU014,354,354,0,0,55,7780,0.0455012853470437,7433,338.0,354,-16.0,16.0,0.0,0.0,Colgate Toothpaste 100g,Personal Care
LKO06,SKU013,408,408,0,0,130,9267,0.04402719326642927,8568,377.0,408,-31.0,31.0,0.0,0.0,Surf Excel 1kg,Household
LKO06,SKU007,1311,944,367,7340,20,28654,0.04575277448174775,11404,522.0,944,-422.0,789.0,0.0,0.0,Lays Classic 52g,Snacks
LKO06,SKU008,1519,1008,511,7154,14,33954,0.04473699711374212,11406,510.0,1008,-498.0,1009.0,0.0,0.0,Maggi Noodles 70g,Snacks
LKO06,SKU009,740,740,0,0,30,15697,0.04714276613365611,10551,497.0,740,-243.0,243.0,0.0,0.0,Britannia Good Day 100g,Snacks
LKO06,SKU010,1091,1025,66,2640,40,23390,0.046643864899529715,11311,528.0,1025,-497.0,563.0,0.0,0.0,Coca-Cola 750ml,Beverages
LKO05,SKU017,374,374,0,0,299,4121,0.09075467119631157,4121,374.0,374,0.0,0.0,0.0,0.0,Phone Charging Cable,Electronics
LKO05,SKU018,206,206,0,0,40,2555,0.08062622309197652,2555,206.0,206,0.0,0.0,0.0,0.0,Birthday Candles Pack,General
LKO06,SKU001,2173,1007,1166,31482,27,46616,0.046614896172987814,11621,542.0,1007,-465.0,1631.0,0.0,0.0,Amul Toned Milk 500ml,Dairy
LKO06,SKU002,811,811,0,0,58,18068,0.044885986274075716,10881,488.0,811,-323.0,323.0,0.0,0.0,Amul Butter 100g,Dairy
LKO07,SKU011,853,853,0,0,110,10311,0.08272718456017845,9009,745.0,853,-108.0,108.0,0.0,0.0,Real Fruit Juice 1L,Beverages
LKO07,SKU010,1966,1001,965,38600,40,23390,0.08405301410859342,11311,951.0,1001,-50.0,1015.0,0.0,0.0,Coca-Cola 750ml,Beverages
LKO07,SKU009,1308,940,368,11040,30,15697,0.08332802446327324,10551,879.0,940,-61.0,429.0,0.0,0.0,Britannia Good Day 100g,Snacks
LKO07,SKU005,3274,1073,2201,77035,35,38816,0.08434666117065127,11694,986.0,1073,-87.0,2288.0,0.0,0.0,Onion 1kg,Fruits & Veg
LKO07,SKU006,2559,954,1605,72225,45,30812,0.08305205763988056,11412,948.0,954,-6.0,1611.0,0.0,0.0,Banana Dozen,Fruits & Veg
LKO07,SKU001,3928,985,2943,79461,27,46616,0.08426291402093702,11621,979.0,985,-6.0,2949.0,0.0,0.0,Amul Toned Milk 500ml,Dairy
LKO07,SKU002,1542,953,589,34162,58,18068,0.08534425503652866,10881,929.0,953,-24.0,613.0,0.0,0.0,Amul Butter 100g,Dairy
LKO07,SKU003,1676,945,731,35088,48,20626,0.08125666634345001,11559,939.0,945,-6.0,737.0,0.0,0.0,Brown Eggs (6 pcs),Dairy
LKO06,SKU016,81,81,0,0,1499,1564,0.05179028132992328,1564,81.0,81,0.0,0.0,0.0,0.0,boAt Earbuds,Electronics
LKO06,SKU017,180,180,0,0,299,4121,0.04367871875758311,4121,180.0,180,0.0,0.0,0.0,0.0,Phone Charging Cable,Electronics
LKO06,SKU015,279,279,0,0,65,6318,0.04415954415954416,6315,279.0,279,0.0,0.0,0.0,0.0,Dettol Handwash 200ml,Personal Care
LKO06,SKU018,108,108,0,0,40,2555,0.042270058708414875,2555,108.0,108,0.0,0.0,0.0,0.0,Birthday Candles Pack,General
LKO06,SKU011,507,507,0,0,110,10311,0.049170788478324116,9009,443.0,507,-64.0,64.0,0.0,0.0,Real Fruit Juice 1L,Beverages
LKO06,SKU012,1219,1015,204,4080,20,26044,0.04680540623560129,11760,550.0,1015,-465.0,669.0,0.0,0.0,Bisleri Water 1L,Beverages
LKO07,SKU017,341,341,0,0,299,4121,0.08274690609075468,4121,341.0,341,0.0,0.0,0.0,0.0,Phone Charging Cable,Electronics
LKO07,SKU018,215,215,0,0,40,2555,0.08414872798434442,2555,215.0,215,0.0,0.0,0.0,0.0,Birthday Candles Pack,General
LKO07,SKU016,121,121,0,0,1499,1564,0.07736572890025575,1564,121.0,121,0.0,0.0,0.0,0.0,boAt Earbuds,Electronics
LKO07,SKU015,541,541,0,0,65,6318,0.08562836340614119,6315,541.0,541,0.0,0.0,0.0,0.0,Dettol Handwash 200ml,Personal Care
LKO07,SKU013,769,769,0,0,130,9267,0.08298262652422575,8568,711.0,769,-58.0,58.0,0.0,0.0,Surf Excel 1kg,Household
LKO07,SKU014,640,640,0,0,55,7780,0.08226221079691516,7433,611.0,640,-29.0,29.0,0.0,0.0,Colgate Toothpaste 100g,Personal Care
LKO08,SKU015,820,820,0,0,65,6318,0.12978790756568534,6315,820.0,820,0.0,0.0,0.0,0.0,Dettol Handwash 200ml,Personal Care
LKO08,SKU016,214,214,0,0,1499,1564,0.13682864450127877,1564,214.0,214,0.0,0.0,0.0,0.0,boAt Earbuds,Electronics
LKO08,SKU017,530,530,0,0,299,4121,0.12860956078621694,4121,530.0,530,0.0,0.0,0.0,0.0,Phone Charging Cable,Electronics
LKO08,SKU018,336,336,0,0,40,2555,0.13150684931506848,2555,336.0,336,0.0,0.0,0.0,0.0,Birthday Candles Pack,General
LKO09,SKU001,2167,929,1238,33426,27,46616,0.04648618500085808,11621,540.0,929,-389.0,1627.0,0.0,0.0,Amul Toned Milk 500ml,Dairy
LKO09,SKU002,860,860,0,0,58,18068,0.047597963249944655,10881,518.0,860,-342.0,342.0,0.0,0.0,Amul Butter 100g,Dairy
LKO09,SKU003,922,922,0,0,48,20626,0.04470086298846117,11559,517.0,922,-405.0,405.0,0.0,0.0,Brown Eggs (6 pcs),Dairy
LKO09,SKU004,1946,1002,944,20768,22,44163,0.04406403550483436,11593,511.0,1002,-491.0,1435.0,0.0,0.0,Tomato 500g,Fruits & Veg
LKO06,SKU003,973,934,39,1872,48,20626,0.047173470377193834,11559,545.0,934,-389.0,428.0,0.0,0.0,Brown Eggs (6 pcs),Dairy
LKO06,SKU004,2046,975,1071,23562,22,44163,0.04632837443108485,11593,537.0,975,-438.0,1509.0,0.0,0.0,Tomato 500g,Fruits & Veg
LKO06,SKU005,1802,917,885,30975,35,38816,0.04642415498763396,11694,543.0,917,-374.0,1259.0,0.0,0.0,Onion 1kg,Fruits & Veg
LKO06,SKU006,1407,910,497,22365,45,30812,0.04566402700246657,11412,521.0,910,-389.0,886.0,0.0,0.0,Banana Dozen,Fruits & Veg
LKO09,SKU008,1548,938,610,8540,14,33954,0.045591093832832656,11406,520.0,938,-418.0,1028.0,0.0,0.0,Maggi Noodles 70g,Snacks
LKO09,SKU007,1287,967,320,6400,20,28654,0.04491519508620088,11404,512.0,967,-455.0,775.0,0.0,0.0,Lays Classic 52g,Snacks
LKO09,SKU006,1406,903,503,22635,45,30812,0.04563157211476048,11412,521.0,903,-382.0,885.0,0.0,0.0,Banana Dozen,Fruits & Veg
LKO09,SKU005,1802,1069,733,25655,35,38816,0.04642415498763396,11694,543.0,1069,-526.0,1259.0,0.0,0.0,Onion 1kg,Fruits & Veg
LKO09,SKU009,748,748,0,0,30,15697,0.04765241765942537,10551,503.0,748,-245.0,245.0,0.0,0.0,Britannia Good Day 100g,Snacks
LKO09,SKU010,1054,906,148,5920,40,23390,0.045061992304403595,11311,510.0,906,-396.0,544.0,0.0,0.0,Coca-Cola 750ml,Beverages
LKO09,SKU011,466,466,0,0,110,10311,0.045194452526428085,9009,407.0,466,-59.0,59.0,0.0,0.0,Real Fruit Juice 1L,Beverages
LKO09,SKU012,1210,960,250,5000,20,26044,0.046459837198587005,11760,546.0,960,-414.0,664.0,0.0,0.0,Bisleri Water 1L,Beverages
LKO09,SKU017,189,189,0,0,299,4121,0.04586265469546227,4121,189.0,189,0.0,0.0,0.0,0.0,Phone Charging Cable,Electronics
LKO09,SKU018,115,115,0,0,40,2555,0.04500978473581213,2555,115.0,115,0.0,0.0,0.0,0.0,Birthday Candles Pack,General
LKO10,SKU001,2101,1028,1073,28971,27,46616,0.04507036210743093,11621,524.0,1028,-504.0,1577.0,0.0,0.0,Amul Toned Milk 500ml,Dairy
LKO10,SKU002,801,801,0,0,58,18068,0.04433252158512287,10881,482.0,801,-319.0,319.0,0.0,0.0,Amul Butter 100g,Dairy
LKO09,SKU013,488,488,0,0,130,9267,0.052659976259846766,8568,451.0,488,-37.0,37.0,0.0,0.0,Surf Excel 1kg,Household
LKO09,SKU014,350,350,0,0,55,7780,0.04498714652956298,7433,334.0,350,-16.0,16.0,0.0,0.0,Colgate Toothpaste 100g,Personal Care
LKO09,SKU015,302,302,0,0,65,6318,0.04779993668882558,6315,302.0,302,0.0,0.0,0.0,0.0,Dettol Handwash 200ml,Personal Care
LKO09,SKU016,73,73,0,0,1499,1564,0.046675191815856776,1564,73.0,73,0.0,0.0,0.0,0.0,boAt Earbuds,Electronics
LKO10,SKU007,1313,979,334,6680,20,28654,0.04582257276470999,11404,523.0,979,-456.0,790.0,0.0,0.0,Lays Classic 52g,Snacks
LKO10,SKU008,1539,965,574,8036,14,33954,0.04532602933380456,11406,517.0,965,-448.0,1022.0,0.0,0.0,Maggi Noodles 70g,Snacks
LKO10,SKU009,680,680,0,0,30,15697,0.0433203796903867,10551,457.0,680,-223.0,223.0,0.0,0.0,Britannia Good Day 100g,Snacks
LKO10,SKU010,1066,896,170,6800,40,23390,0.04557503206498504,11311,515.0,896,-381.0,551.0,0.0,0.0,Coca-Cola 750ml,Beverages
LKO10,SKU011,476,476,0,0,110,10311,0.0461642905634759,9009,416.0,476,-60.0,60.0,0.0,0.0,Real Fruit Juice 1L,Beverages
LKO10,SKU012,1218,956,262,5240,20,26044,0.04676700967593304,11760,550.0,956,-406.0,668.0,0.0,0.0,Bisleri Water 1L,Beverages
LKO10,SKU013,414,414,0,0,130,9267,0.04467465199093558,8568,383.0,414,-31.0,31.0,0.0,0.0,Surf Excel 1kg,Household
LKO10,SKU014,373,373,0,0,55,7780,0.04794344473007712,7433,356.0,373,-17.0,17.0,0.0,0.0,Colgate Toothpaste 100g,Personal Care
LKO10,SKU015,293,293,0,0,65,6318,0.04637543526432415,6315,293.0,293,0.0,0.0,0.0,0.0,Dettol Handwash 200ml,Personal Care
LKO10,SKU016,81,81,0,0,1499,1564,0.05179028132992328,1564,81.0,81,0.0,0.0,0.0,0.0,boAt Earbuds,Electronics
LKO10,SKU017,174,174,0,0,299,4121,0.04222276146566367,4121,174.0,174,0.0,0.0,0.0,0.0,Phone Charging Cable,Electronics
